#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2019 01 01 00 28 999 99.0 99.0  1.39  9.88  5.69 284 9999.0 999.0  15.9 999.0 99.0 99.00
2019 01 01 00 58 999 99.0 99.0  1.42  8.33  5.91 281 9999.0 999.0  15.8 999.0 99.0 99.00
2019 01 01 01 28 999 99.0 99.0  1.32  9.09  5.93 287 9999.0 999.0  15.8 999.0 99.0 99.00
2019 01 01 01 58 999 99.0 99.0  1.41  8.33  6.51 284 9999.0 999.0  15.8 999.0 99.0 99.00
2019 01 01 02 28 999 99.0 99.0  1.28  9.09  6.46 289 9999.0 999.0  15.8 999.0 99.0 99.00
2019 01 01 02 58 999 99.0 99.0  1.30  8.33  6.90 285 9999.0 999.0  15.8 999.0 99.0 99.00
2019 01 01 03 28 999 99.0 99.0  1.17  9.09  7.33 287 9999.0 999.0  15.8 999.0 99.0 99.00
2019 01 01 03 58 999 99.0 99.0  1.18  9.88  7.66 284 9999.0 999.0  15.8 999.0 99.0 99.00
2019 01 01 04 28 999 99.0 99.0  1.10  9.09  7.51 287 9999.0 999.0  15.8 999.0 99.0 99.00
2019 01 01 04 58 999 99.0 99.0  1.09 11.11  7.99 291 9999.0 999.0  15.8 999.0 99.0 99.00
2019 01 01 05 28 999 99.0 99.0  0.95  8.33  7.90 284 9999.0 999.0  15.8 999.0 99.0 99.00
2019 01 01 05 58 999 99.0 99.0  1.01 10.53  8.17 292 9999.0 999.0  15.8 999.0 99.0 99.00
2019 01 01 06 28 999 99.0 99.0  0.95 11.11  8.12 291 9999.0 999.0  15.8 999.0 99.0 99.00
2019 01 01 06 58 999 99.0 99.0  0.84  9.88  7.99 288 9999.0 999.0  15.8 999.0 99.0 99.00
2019 01 01 07 28 999 99.0 99.0  0.87 10.53  7.85 289 9999.0 999.0  15.8 999.0 99.0 99.00
2019 01 01 07 58 999 99.0 99.0  0.85 10.53  7.92 291 9999.0 999.0  15.8 999.0 99.0 99.00
2019 01 01 08 28 999 99.0 99.0  0.85 10.53  8.00 291 9999.0 999.0  15.7 999.0 99.0 99.00
2019 01 01 08 58 999 99.0 99.0  0.84 10.53  7.85 288 9999.0 999.0  15.7 999.0 99.0 99.00
