#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2018 01 01 00 18 999 99.0 99.0  0.41 11.76  7.08 288 9999.0 999.0  16.8 999.0 99.0 99.00
2018 01 01 00 48 999 99.0 99.0  0.41 10.53  6.85 288 9999.0 999.0  16.7 999.0 99.0 99.00
2018 01 01 01 18 999 99.0 99.0  0.39 11.76  6.70 295 9999.0 999.0  16.6 999.0 99.0 99.00
2018 01 01 01 48 999 99.0 99.0  0.40 11.76  6.81 295 9999.0 999.0  16.5 999.0 99.0 99.00
2018 01 01 02 18 999 99.0 99.0  0.39  9.88  6.68 287 9999.0 999.0  16.6 999.0 99.0 99.00
2018 01 01 03 18 999 99.0 99.0  0.42 11.76  6.28 285 9999.0 999.0  16.6 999.0 99.0 99.00
2018 01 01 03 48 999 99.0 99.0  0.40 11.11  5.68 285 9999.0 999.0  16.6 999.0 99.0 99.00
2018 01 01 04 18 999 99.0 99.0  0.40  9.88  5.20 289 9999.0 999.0  16.6 999.0 99.0 99.00
2018 01 01 04 48 999 99.0 99.0  0.43 11.76  5.52 294 9999.0 999.0  16.5 999.0 99.0 99.00
2018 01 01 05 18 999 99.0 99.0  0.43 11.11  5.55 288 9999.0 999.0  16.5 999.0 99.0 99.00
2018 01 01 05 48 999 99.0 99.0  0.44 11.76  5.56 284 9999.0 999.0  16.5 999.0 99.0 99.00
2018 01 01 06 18 999 99.0 99.0  0.42 11.76  4.78 284 9999.0 999.0  16.5 999.0 99.0 99.00
2018 01 01 06 48 999 99.0 99.0  0.40 10.53  4.69 282 9999.0 999.0  16.5 999.0 99.0 99.00
2018 01 01 07 18 999 99.0 99.0  0.41 10.53  4.51 288 9999.0 999.0  16.5 999.0 99.0 99.00
2018 01 01 07 48 999 99.0 99.0  0.39 11.76  4.68 281 9999.0 999.0  16.5 999.0 99.0 99.00
2018 01 01 08 18 999 99.0 99.0  0.40 10.53  4.76 282 9999.0 999.0  16.5 999.0 99.0 99.00
2018 01 01 08 48 999 99.0 99.0  0.41 10.53  4.84 282 9999.0 999.0  16.4 999.0 99.0 99.00
2018 01 01 09 18 999 99.0 99.0  0.43 11.11  4.78 285 9999.0 999.0  16.4 999.0 99.0 99.00
2018 01 01 09 48 999 99.0 99.0  0.41 13.33  4.52 280 9999.0 999.0  16.4 999.0 99.0 99.00
2018 01 01 10 18 999 99.0 99.0  0.46 10.53  4.71 284 9999.0 999.0  16.4 999.0 99.0 99.00
2018 01 01 10 48 999 99.0 99.0  0.47 11.11  4.52 287 9999.0 999.0  16.4 999.0 99.0 99.00
2018 01 01 11 18 999 99.0 99.0  0.49 10.53  4.54 285 9999.0 999.0  16.4 999.0 99.0 99.00
2018 01 01 11 48 999 99.0 99.0  0.45 11.76  4.54 287 9999.0 999.0  16.3 999.0 99.0 99.00
2018 01 01 12 18 999 99.0 99.0  0.50 11.11  4.67 285 9999.0 999.0  16.3 999.0 99.0 99.00
2018 01 01 12 48 999 99.0 99.0  0.49 11.11  4.31 288 9999.0 999.0  16.3 999.0 99.0 99.00
2018 01 01 13 18 999 99.0 99.0  0.47 13.33  4.24 281 9999.0 999.0  16.3 999.0 99.0 99.00
2018 01 01 13 48 999 99.0 99.0  0.48  9.88  4.49 278 9999.0 999.0  16.3 999.0 99.0 99.00
