#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 01 02 06 48 999 99.0 99.0  0.38 13.33  7.32 288 9999.0 999.0  15.6 999.0 99.0 99.00
2016 01 02 07 18 999 99.0 99.0  0.36 13.33  7.49 285 9999.0 999.0  15.6 999.0 99.0 99.00
2016 01 02 07 48 999 99.0 99.0  0.41 14.29  8.29 288 9999.0 999.0  15.6 999.0 99.0 99.00
2016 01 02 08 48 999 99.0 99.0  0.35 12.50  8.25 287 9999.0 999.0  15.6 999.0 99.0 99.00
2016 01 02 09 18 999 99.0 99.0  0.35 12.50  8.14 288 9999.0 999.0  15.6 999.0 99.0 99.00
2016 01 02 10 18 999 99.0 99.0  0.35 16.67  8.60 295 9999.0 999.0  15.6 999.0 99.0 99.00
2016 01 02 10 48 999 99.0 99.0  0.37 13.33  9.14 282 9999.0 999.0  15.6 999.0 99.0 99.00
2016 01 02 11 18 999 99.0 99.0  0.35 14.29  8.78 289 9999.0 999.0  15.7 999.0 99.0 99.00
2016 01 02 11 48 999 99.0 99.0  0.36 14.29  8.85 287 9999.0 999.0  15.7 999.0 99.0 99.00
2016 01 02 12 18 999 99.0 99.0  0.37 12.50  8.86 285 9999.0 999.0  15.7 999.0 99.0 99.00
2016 01 02 12 48 999 99.0 99.0  0.34 16.67  8.46 292 9999.0 999.0  15.7 999.0 99.0 99.00
2016 01 02 13 18 999 99.0 99.0  0.36 16.67  8.75 291 9999.0 999.0  15.6 999.0 99.0 99.00
2016 01 02 14 18 999 99.0 99.0  0.34 11.11  8.36 284 9999.0 999.0  15.6 999.0 99.0 99.00
2016 01 02 14 48 999 99.0 99.0  0.35 16.67  8.94 294 9999.0 999.0  15.6 999.0 99.0 99.00
2016 01 02 15 18 999 99.0 99.0  0.38 16.67  8.67 288 9999.0 999.0  15.6 999.0 99.0 99.00
